股票代码,股票简称,最新涨跌幅,个股热度[20250609],个股热度排名[20250609],market_code,code,最新价
002467.SZ,二六三,10.049,321468.5,1,33,002467,
603019.SH,中科曙光,,252752.5,2,17,603019,
002298.SZ,中电鑫龙,9.959,213863.0,3,33,002298,
600468.SH,百利电气,9.959,176344.0,4,17,600468,
003040.SZ,楚天龙,10.028,170958.0,5,33,003040,
002250.SZ,联化科技,6.934,159112.5,6,33,002250,
002104.SZ,恒宝股份,4.356,151150.5,7,33,002104,
002639.SZ,雪人股份,-1.225,147283.0,8,33,002639,
603042.SH,华脉科技,10.018,129060.0,9,17,603042,
002177.SZ,御银股份,-3.206,127470.5,10,33,002177,
600610.SH,中毅达,5.333,117001.0,11,17,600610,16.00
002546.SZ,新联电子,10.055,106082.0,12,33,002546,
000815.SZ,美利云,10.041,104482.5,13,33,000815,
000701.SZ,厦门信达,10.083,102387.0,14,33,000701,
603123.SH,翠微股份,-7.828,101982.0,15,17,603123,
601789.SH,宁波建工,9.925,101586.0,16,17,601789,
605099.SH,共创草坪,9.997,99770.5,17,17,605099,
000506.SZ,中润资源,9.988,92991.5,18,33,000506,
000533.SZ,顺钠股份,4.725,91620.0,19,33,000533,
002471.SZ,中超控股,-1.563,90569.5,20,33,002471,
603017.SH,中衡设计,10.018,89406.0,21,17,603017,
002951.SZ,金时科技,9.982,86683.5,22,33,002951,
603679.SH,华体科技,10.014,82918.5,23,17,603679,
000599.SZ,青岛双星,10.000,82106.5,24,33,000599,
000889.SZ,中嘉博创,10.092,81013.0,25,33,000889,
300651.SZ,金陵体育,8.918,77602.5,26,33,300651,
000722.SZ,湖南发展,9.977,71870.0,27,33,000722,
300368.SZ,汇金股份,6.950,71065.5,28,33,300368,
603879.SH,永悦科技,10.034,69352.0,29,17,603879,
002366.SZ,融发核电,-0.437,68445.0,30,33,002366,
605388.SH,均瑶健康,5.797,67598.5,31,17,605388,
603226.SH,菲林格尔,9.960,66817.5,32,17,603226,
600589.SH,大位科技,1.430,66343.5,33,17,600589,
002190.SZ,成飞集成,-4.368,64023.0,34,33,002190,
